id,linha_id,nome,caminho
622,317,"Terminal Aterro/ 2 de Setembro/ R. das Missões/ Terminal Fonte",nd_cDz~sjHFiCr@GLNApE|BLPNZrBb@?kEgVMiCTsBj@mArKqMtE_EdEwBxHi@zEcBjQkEth@gQrFqAvF_EhG}G|EoCdNsOfLeOr@iCHcDKyA{Qm_@w@iDcC_QI{BlAaNl@aCbAsBt@oAr@g@r@]dAIzRlDlAt@`A`BpBtGxA~AhQrIvF|HdE`DfBz@vN`Ej@^l@Jn@SzGK~RyBjAa@`EmD~ApBlIiIR@dFpH_@h@qEjEuDnBiFlB{HxAu@j@Qj@@xBrDxCn@e@XFvGjJ|C_C`ReQjIgLpAoChFePpAmFpAmMXc@fM}Mh@EvDhBd@?|@m@~@b@
624,317,"Terminal Fonte/ R. das Missões/ 2 de Setembro/ Terminal Aterro",tojcDvrljHgDaBu@CcDsFqCYwDp@kCYyAmAeCLYLkHxL@`@bBdC@n@[~Bk@xAYdDg@xBoBjFcCrEwHfJ_@CuE_HFa@hCaCF_@{EyG}JzJpAxBMjB_F~EsAn@_Cb@aP`BiEJ_FW{EgAiH_CkEgCsAkAwF}HoOeHoB}Am@}@uAkFoAwBy@e@gTsD{AZgCrBiAnD}@tEoAhO\RTv@bC|Oz@tCbQr]Jt@GzDq@hCcUbYuEvEsEjCeGbH}DbDwAn@}EdAij@zQyLpCkH`C}Hl@cEvBcEhDwLzNeBhHxAdDXdCSx@s@d@IlEIL]GA_@
70154,321,"Terminal Fortaleza/ Park Europeu/ Tamarindo/ Terminal Fonte",z`acDnqnjHkBy@Qm@g@L@Zr@l@vGdCb@VJn@r@x@dAL`@Z|@rGNPZW]iA@s@Te@j@[r\`@pBRd@X~@fBAjAXl@b@GJo@bAcAnASjUnGx^l]fB`ElFdHbAJtHoIlH@dDq@bDmAxAyAhAsCLLMMf@kAdDcFvAcAtKcFxEw@vGaEvDgAxBOhBiAfAmAh@@xGhJpBuAjSyRrIqLnHaT|@mDv@kIf@qDTc@bMcNx@MrEnBfAs@v@b@
70156,321,"Terminal Fonte/ Tamarindo/ Park Europeu/ Terminal Fortaleza",dojcDlrljH{C{A}@MaCyEo@[_CK}Cj@eA@sBc@mAkAmCb@sHpLDf@pArBTjBaAjDWrCu@lDuDvIeKzMaGfFwDrBmE~A_JdBgBjCsFvC{HvGcHzD_Iv@qAlAwArDsEfIaInHw@VwADoBYaIiByDFmCh@aAGeA_@u[sZoBcCwDyA{ToGmCg@uX{@qMwAwEsBCkAW[oDqAo@FE^NNp@e@bDvAI\WK
90053,261,"Terminal Aterro / Rua São Paulo / Terminal Fonte / Terminal Garcia",xe_cDv~sjHClAo@Ji@MPuExACRNIfEfCZV\NxAXLJIyEqVEaCj@oC~LqO`FaEjCuAvAYtDIhAS|DwAxR_Fxb@kNfAd@lEvJ~FvHdAbDh@n@XElGoEzf@{d@rLcGhA[~HaJ~DH|BM~B]xDyAhBqBjBkEdDcFx@q@hHkDjC_AdC[pAe@vGaEvDgAxBObE}C~A`BhEnGvCqB`RgQ~IgM~G}RlAqE~A}NxGeI~DcEf@MjEtBd@HjAk@pFhCOpA~JxElL@nAh@rF|IpCfHhOhSdNdWt@\nDVtAf@vJxFlD~@xGj@lS]hCi@xMeGtEuD|CmEj@wGlBaDz@o@nBc@z@A~@UP_@lGsA|OTfA`A^dAh@@~B_E
90054,261,"Terminal Garcia / Terminal Fonte / Rua São Paulo / Terminal Aterro",~aqcDh`njHf@u@p@AAe@i@FeBrBgAZ}BPwPWkBV_LvC{@n@mB`Dg@nGgDzEkF~D}LtFiCh@mPZwB@aGk@eEoAsKcG_Fi@s@e@yMyVmOmScDkIiF_Is@]wK@oAWgIaESkAgGsCe@FoC{Ee@a@kCEuCf@yACyAYqAiAqCPsHdLDt@lArBRtAkAtEc@zEgCjHeChEwH|JsG|FiI~D}K~B{BzC}GzD}F|EsGpDcHv@{@\o@t@yH~NyIxH{BToLkCcAGyETkDeAq@PUj@Bb@j@|BWpA}EhEsRnNgHxMoH`IgClE{BdBg@Dc@O}FsH_FoLSA}a@jNaVbGkDpAkIl@uCbBsE|DiLnNmBrGARz@jAz@hEQrAy@b@Eh@
90104,280,"Terminal Fonte/ Terminal Proeb/ Escola Agrícola/ Terminal Aterro",|mjcDzqljHkBcAy@GgCuEg@_@aCYgEl@{BQmBkAmCZuHvL|ApCNlB}@jDo@lFeCjHeChEiIpKiGnFaIxDmKvBiAdAI`BJj@vDxCZ_@^C|GtJ{B|CoEfIq@tBuCnOiBnGqBpD@j@sEjE[Sg@HgE`EWCsAsB]M_@Lm[j[qPxNF`@xE`BzJ|VuAzDCf@nBjLxAvC?t@[n@w@l@wQ@wJU{PbGuBHmLkCgLWaBWiEyAeLqCeGsAyAG]RCXl@`FB|DkAbG_A\y@GaIgCy@rAmAxH[l@o@`@sFl@yIcDoFoAq@@_FnB}AZ_F}JwBoGaAgBeJaG_G}Co@m@gBgDkAGe@XEl@
90105,280,"Terminal Aterro/ Escola Agrícola/ Terminal Proeb/ Terminal Fonte",ve_cDn`tjHE^g@GPyE`AHGjElCb@f@vB^MAyA`@s@zFpCdJ`G`AfBvBnGlDjHPz@j@f@hGsClBOxObF\z@qAzCEl@bAxDV@VGA]yA{B@eAxBsDtGcBl@cIf@yAv@Y~HjCx@At@m@`AgHWsHv@kAnCN`QfEhExA`BVfLVlLjCtBIhQeGhJV`RE~@cALcB{AaDkB_KFy@tAmDmK{WxBqAtEuDpFeFjJkJbCiFrGoFh@IjATjBSDu@o@w@?]~@}@rAOIcAxEmELVj@EFq@jAoCzBwHbCiNj@oBhEyHpCuD|U}T~IgM~G}RlAqEt@eIh@wDTc@bMeNx@KzE|BdA{@p@\
